frase,codice
fai vedere il valore 29,print(29)
fai vedere 30,print(30)
fai vedere numero 30,print(30)
fai vedere il valore 30,print(30)
fai vedere 31,print(31)
fai vedere numero 31,print(31)
fai vedere il valore 31,print(31)
fai vedere 32,print(32)
fai vedere numero 32,print(32)
fai vedere il valore 32,print(32)
fai vedere 33,print(33)
fai vedere numero 33,print(33)
fai vedere il valore 33,print(33)
fai vedere 34,print(34)
fai vedere numero 34,print(34)
fai vedere il valore 34,print(34)
fai vedere 35,print(35)
fai vedere numero 35,print(35)
fai vedere il valore 35,print(35)
fai vedere 36,print(36)
fai vedere numero 36,print(36)
fai vedere il valore 36,print(36)
fai vedere 37,print(37)
fai vedere numero 37,print(37)
fai vedere il valore 37,print(37)
fai vedere 38,print(38)
fai vedere numero 38,print(38)
fai vedere il valore 38,print(38)
fai vedere 39,print(39)
fai vedere numero 39,print(39)
fai vedere il valore 39,print(39)
fai vedere 40,print(40)
fai vedere numero 40,print(40)
fai vedere il valore 40,print(40)
fai vedere 41,print(41)
fai vedere numero 41,print(41)
fai vedere il valore 41,print(41)
fai vedere 42,print(42)
fai vedere numero 42,print(42)
fai vedere il valore 42,print(42)
fai vedere 43,print(43)
fai vedere numero 43,print(43)
fai vedere il valore 43,print(43)
fai vedere 44,print(44)
fai vedere numero 44,print(44)
fai vedere il valore 44,print(44)
fai vedere 45,print(45)
fai vedere numero 45,print(45)
fai vedere il valore 45,print(45)
fai vedere 46,print(46)
fai vedere numero 46,print(46)
fai vedere il valore 46,print(46)
fai vedere 47,print(47)
fai vedere numero 47,print(47)
fai vedere il valore 47,print(47)
fai vedere 48,print(48)
fai vedere numero 48,print(48)
fai vedere il valore 48,print(48)
fai vedere 49,print(49)
fai vedere numero 49,print(49)
fai vedere il valore 49,print(49)
somma 0 e 0,print(0 + 0)
addiziona 0 e 0,print(0 + 0)
calcola 0 più 0,print(0 + 0)
0 più 0,print(0 + 0)
somma 0 e 5,print(0 + 5)
addiziona 0 e 5,print(0 + 5)
calcola 0 più 5,print(0 + 5)
0 più 5,print(0 + 5)
somma 0 e 10,print(0 + 10)
addiziona 0 e 10,print(0 + 10)
calcola 0 più 10,print(0 + 10)
0 più 10,print(0 + 10)
somma 0 e 15,print(0 + 15)
addiziona 0 e 15,print(0 + 15)
calcola 0 più 15,print(0 + 15)
0 più 15,print(0 + 15)
somma 0 e 20,print(0 + 20)
addiziona 0 e 20,print(0 + 20)
calcola 0 più 20,print(0 + 20)
0 più 20,print(0 + 20)
somma 0 e 25,print(0 + 25)
addiziona 0 e 25,print(0 + 25)
calcola 0 più 25,print(0 + 25)
0 più 25,print(0 + 25)
somma 0 e 30,print(0 + 30)
addiziona 0 e 30,print(0 + 30)
calcola 0 più 30,print(0 + 30)
0 più 30,print(0 + 30)
somma 0 e 35,print(0 + 35)
addiziona 0 e 35,print(0 + 35)
calcola 0 più 35,print(0 + 35)
0 più 35,print(0 + 35)
somma 0 e 40,print(0 + 40)
addiziona 0 e 40,print(0 + 40)
calcola 0 più 40,print(0 + 40)
0 più 40,print(0 + 40)
somma 0 e 45,print(0 + 45)
addiziona 0 e 45,print(0 + 45)
calcola 0 più 45,print(0 + 45)
0 più 45,print(0 + 45)
somma 0 e 50,print(0 + 50)
addiziona 0 e 50,print(0 + 50)
calcola 0 più 50,print(0 + 50)
0 più 50,print(0 + 50)
somma 5 e 0,print(5 + 0)
addiziona 5 e 0,print(5 + 0)
calcola 5 più 0,print(5 + 0)
5 più 0,print(5 + 0)
somma 5 e 5,print(5 + 5)
addiziona 5 e 5,print(5 + 5)
calcola 5 più 5,print(5 + 5)
5 più 5,print(5 + 5)
somma 5 e 10,print(5 + 10)
addiziona 5 e 10,print(5 + 10)
calcola 5 più 10,print(5 + 10)
5 più 10,print(5 + 10)
somma 5 e 15,print(5 + 15)
addiziona 5 e 15,print(5 + 15)
calcola 5 più 15,print(5 + 15)
5 più 15,print(5 + 15)
somma 5 e 20,print(5 + 20)
addiziona 5 e 20,print(5 + 20)
calcola 5 più 20,print(5 + 20)
5 più 20,print(5 + 20)
somma 5 e 25,print(5 + 25)
addiziona 5 e 25,print(5 + 25)
calcola 5 più 25,print(5 + 25)
5 più 25,print(5 + 25)
somma 5 e 30,print(5 + 30)
addiziona 5 e 30,print(5 + 30)
calcola 5 più 30,print(5 + 30)
5 più 30,print(5 + 30)
somma 5 e 35,print(5 + 35)
addiziona 5 e 35,print(5 + 35)
calcola 5 più 35,print(5 + 35)
5 più 35,print(5 + 35)
somma 5 e 40,print(5 + 40)
addiziona 5 e 40,print(5 + 40)
calcola 5 più 40,print(5 + 40)
5 più 40,print(5 + 40)
somma 5 e 45,print(5 + 45)
addiziona 5 e 45,print(5 + 45)
calcola 5 più 45,print(5 + 45)
5 più 45,print(5 + 45)
somma 5 e 50,print(5 + 50)
addiziona 5 e 50,print(5 + 50)
calcola 5 più 50,print(5 + 50)
5 più 50,print(5 + 50)
somma 10 e 0,print(10 + 0)
addiziona 10 e 0,print(10 + 0)
calcola 10 più 0,print(10 + 0)
10 più 0,print(10 + 0)
somma 10 e 5,print(10 + 5)
addiziona 10 e 5,print(10 + 5)
calcola 10 più 5,print(10 + 5)
10 più 5,print(10 + 5)
somma 10 e 10,print(10 + 10)
addiziona 10 e 10,print(10 + 10)
calcola 10 più 10,print(10 + 10)
10 più 10,print(10 + 10)
somma 10 e 15,print(10 + 15)
addiziona 10 e 15,print(10 + 15)
calcola 10 più 15,print(10 + 15)
10 più 15,print(10 + 15)
somma 10 e 20,print(10 + 20)
addiziona 10 e 20,print(10 + 20)
calcola 10 più 20,print(10 + 20)
10 più 20,print(10 + 20)
somma 10 e 25,print(10 + 25)
addiziona 10 e 25,print(10 + 25)
calcola 10 più 25,print(10 + 25)
10 più 25,print(10 + 25)
somma 10 e 30,print(10 + 30)
addiziona 10 e 30,print(10 + 30)
calcola 10 più 30,print(10 + 30)
10 più 30,print(10 + 30)
somma 10 e 35,print(10 + 35)
addiziona 10 e 35,print(10 + 35)
calcola 10 più 35,print(10 + 35)
10 più 35,print(10 + 35)
somma 10 e 40,print(10 + 40)
addiziona 10 e 40,print(10 + 40)
calcola 10 più 40,print(10 + 40)
10 più 40,print(10 + 40)
somma 10 e 45,print(10 + 45)
addiziona 10 e 45,print(10 + 45)
calcola 10 più 45,print(10 + 45)
10 più 45,print(10 + 45)
somma 10 e 50,print(10 + 50)
addiziona 10 e 50,print(10 + 50)
calcola 10 più 50,print(10 + 50)
10 più 50,print(10 + 50)
somma 15 e 0,print(15 + 0)
addiziona 15 e 0,print(15 + 0)
calcola 15 più 0,print(15 + 0)
15 più 0,print(15 + 0)
somma 15 e 5,print(15 + 5)
addiziona 15 e 5,print(15 + 5)
calcola 15 più 5,print(15 + 5)
15 più 5,print(15 + 5)
somma 15 e 10,print(15 + 10)
addiziona 15 e 10,print(15 + 10)
calcola 15 più 10,print(15 + 10)
15 più 10,print(15 + 10)
somma 15 e 15,print(15 + 15)
addiziona 15 e 15,print(15 + 15)
calcola 15 più 15,print(15 + 15)
15 più 15,print(15 + 15)
somma 15 e 20,print(15 + 20)
addiziona 15 e 20,print(15 + 20)
calcola 15 più 20,print(15 + 20)
15 più 20,print(15 + 20)
somma 15 e 25,print(15 + 25)
addiziona 15 e 25,print(15 + 25)
calcola 15 più 25,print(15 + 25)
15 più 25,print(15 + 25)
somma 15 e 30,print(15 + 30)
addiziona 15 e 30,print(15 + 30)
calcola 15 più 30,print(15 + 30)
15 più 30,print(15 + 30)
somma 15 e 35,print(15 + 35)
addiziona 15 e 35,print(15 + 35)
calcola 15 più 35,print(15 + 35)
15 più 35,print(15 + 35)
somma 15 e 40,print(15 + 40)
addiziona 15 e 40,print(15 + 40)
calcola 15 più 40,print(15 + 40)
15 più 40,print(15 + 40)
somma 15 e 45,print(15 + 45)
addiziona 15 e 45,print(15 + 45)
calcola 15 più 45,print(15 + 45)
15 più 45,print(15 + 45)
somma 15 e 50,print(15 + 50)
addiziona 15 e 50,print(15 + 50)
calcola 15 più 50,print(15 + 50)
15 più 50,print(15 + 50)
somma 20 e 0,print(20 + 0)
addiziona 20 e 0,print(20 + 0)
calcola 20 più 0,print(20 + 0)
20 più 0,print(20 + 0)
somma 20 e 5,print(20 + 5)
addiziona 20 e 5,print(20 + 5)
calcola 20 più 5,print(20 + 5)
20 più 5,print(20 + 5)
somma 20 e 10,print(20 + 10)
addiziona 20 e 10,print(20 + 10)
calcola 20 più 10,print(20 + 10)
20 più 10,print(20 + 10)
somma 20 e 15,print(20 + 15)
addiziona 20 e 15,print(20 + 15)
calcola 20 più 15,print(20 + 15)
20 più 15,print(20 + 15)
somma 20 e 20,print(20 + 20)
addiziona 20 e 20,print(20 + 20)
calcola 20 più 20,print(20 + 20)
20 più 20,print(20 + 20)
somma 20 e 25,print(20 + 25)
addiziona 20 e 25,print(20 + 25)
calcola 20 più 25,print(20 + 25)
20 più 25,print(20 + 25)
somma 20 e 30,print(20 + 30)
addiziona 20 e 30,print(20 + 30)
calcola 20 più 30,print(20 + 30)
20 più 30,print(20 + 30)
somma 20 e 35,print(20 + 35)
addiziona 20 e 35,print(20 + 35)
calcola 20 più 35,print(20 + 35)
20 più 35,print(20 + 35)
somma 20 e 40,print(20 + 40)
addiziona 20 e 40,print(20 + 40)
calcola 20 più 40,print(20 + 40)
20 più 40,print(20 + 40)
somma 20 e 45,print(20 + 45)
addiziona 20 e 45,print(20 + 45)
calcola 20 più 45,print(20 + 45)
20 più 45,print(20 + 45)
somma 20 e 50,print(20 + 50)
addiziona 20 e 50,print(20 + 50)
calcola 20 più 50,print(20 + 50)
20 più 50,print(20 + 50)
somma 25 e 0,print(25 + 0)
addiziona 25 e 0,print(25 + 0)
calcola 25 più 0,print(25 + 0)
25 più 0,print(25 + 0)
somma 25 e 5,print(25 + 5)
addiziona 25 e 5,print(25 + 5)
calcola 25 più 5,print(25 + 5)
25 più 5,print(25 + 5)
somma 25 e 10,print(25 + 10)
addiziona 25 e 10,print(25 + 10)
calcola 25 più 10,print(25 + 10)
25 più 10,print(25 + 10)
somma 25 e 15,print(25 + 15)
addiziona 25 e 15,print(25 + 15)
calcola 25 più 15,print(25 + 15)
25 più 15,print(25 + 15)
somma 25 e 20,print(25 + 20)
addiziona 25 e 20,print(25 + 20)
calcola 25 più 20,print(25 + 20)
25 più 20,print(25 + 20)
somma 25 e 25,print(25 + 25)
addiziona 25 e 25,print(25 + 25)
calcola 25 più 25,print(25 + 25)
25 più 25,print(25 + 25)
somma 25 e 30,print(25 + 30)
addiziona 25 e 30,print(25 + 30)
calcola 25 più 30,print(25 + 30)
25 più 30,print(25 + 30)
somma 25 e 35,print(25 + 35)
addiziona 25 e 35,print(25 + 35)
calcola 25 più 35,print(25 + 35)
25 più 35,print(25 + 35)
somma 25 e 40,print(25 + 40)
addiziona 25 e 40,print(25 + 40)
calcola 25 più 40,print(25 + 40)
25 più 40,print(25 + 40)
somma 25 e 45,print(25 + 45)
addiziona 25 e 45,print(25 + 45)
calcola 25 più 45,print(25 + 45)
25 più 45,print(25 + 45)
somma 25 e 50,print(25 + 50)
addiziona 25 e 50,print(25 + 50)
calcola 25 più 50,print(25 + 50)
25 più 50,print(25 + 50)
somma 30 e 0,print(30 + 0)
addiziona 30 e 0,print(30 + 0)
calcola 30 più 0,print(30 + 0)
30 più 0,print(30 + 0)
somma 30 e 5,print(30 + 5)
addiziona 30 e 5,print(30 + 5)
calcola 30 più 5,print(30 + 5)
30 più 5,print(30 + 5)
somma 30 e 10,print(30 + 10)
addiziona 30 e 10,print(30 + 10)
calcola 30 più 10,print(30 + 10)
30 più 10,print(30 + 10)
somma 30 e 15,print(30 + 15)
addiziona 30 e 15,print(30 + 15)
calcola 30 più 15,print(30 + 15)
30 più 15,print(30 + 15)
somma 30 e 20,print(30 + 20)
addiziona 30 e 20,print(30 + 20)
calcola 30 più 20,print(30 + 20)
30 più 20,print(30 + 20)
somma 30 e 25,print(30 + 25)
addiziona 30 e 25,print(30 + 25)
calcola 30 più 25,print(30 + 25)
30 più 25,print(30 + 25)
somma 30 e 30,print(30 + 30)
addiziona 30 e 30,print(30 + 30)
calcola 30 più 30,print(30 + 30)
30 più 30,print(30 + 30)
somma 30 e 35,print(30 + 35)
addiziona 30 e 35,print(30 + 35)
calcola 30 più 35,print(30 + 35)
30 più 35,print(30 + 35)
somma 30 e 40,print(30 + 40)
addiziona 30 e 40,print(30 + 40)
calcola 30 più 40,print(30 + 40)
30 più 40,print(30 + 40)
somma 30 e 45,print(30 + 45)
addiziona 30 e 45,print(30 + 45)
calcola 30 più 45,print(30 + 45)
30 più 45,print(30 + 45)
somma 30 e 50,print(30 + 50)
addiziona 30 e 50,print(30 + 50)
calcola 30 più 50,print(30 + 50)
30 più 50,print(30 + 50)
somma 35 e 0,print(35 + 0)
addiziona 35 e 0,print(35 + 0)
calcola 35 più 0,print(35 + 0)
35 più 0,print(35 + 0)
somma 35 e 5,print(35 + 5)
addiziona 35 e 5,print(35 + 5)
calcola 35 più 5,print(35 + 5)
35 più 5,print(35 + 5)
somma 35 e 10,print(35 + 10)
addiziona 35 e 10,print(35 + 10)
calcola 35 più 10,print(35 + 10)
35 più 10,print(35 + 10)
somma 35 e 15,print(35 + 15)
addiziona 35 e 15,print(35 + 15)
calcola 35 più 15,print(35 + 15)
35 più 15,print(35 + 15)
somma 35 e 20,print(35 + 20)
addiziona 35 e 20,print(35 + 20)
calcola 35 più 20,print(35 + 20)
35 più 20,print(35 + 20)
somma 35 e 25,print(35 + 25)
addiziona 35 e 25,print(35 + 25)
calcola 35 più 25,print(35 + 25)
35 più 25,print(35 + 25)
somma 35 e 30,print(35 + 30)
addiziona 35 e 30,print(35 + 30)
calcola 35 più 30,print(35 + 30)
35 più 30,print(35 + 30)
somma 35 e 35,print(35 + 35)
addiziona 35 e 35,print(35 + 35)
calcola 35 più 35,print(35 + 35)
35 più 35,print(35 + 35)
somma 35 e 40,print(35 + 40)
addiziona 35 e 40,print(35 + 40)
calcola 35 più 40,print(35 + 40)
35 più 40,print(35 + 40)
somma 35 e 45,print(35 + 45)
addiziona 35 e 45,print(35 + 45)
calcola 35 più 45,print(35 + 45)
35 più 45,print(35 + 45)
somma 35 e 50,print(35 + 50)
addiziona 35 e 50,print(35 + 50)
calcola 35 più 50,print(35 + 50)
35 più 50,print(35 + 50)
somma 40 e 0,print(40 + 0)
addiziona 40 e 0,print(40 + 0)
calcola 40 più 0,print(40 + 0)
40 più 0,print(40 + 0)
somma 40 e 5,print(40 + 5)
addiziona 40 e 5,print(40 + 5)
calcola 40 più 5,print(40 + 5)
40 più 5,print(40 + 5)
somma 40 e 10,print(40 + 10)
addiziona 40 e 10,print(40 + 10)
calcola 40 più 10,print(40 + 10)
40 più 10,print(40 + 10)
somma 40 e 15,print(40 + 15)
addiziona 40 e 15,print(40 + 15)
calcola 40 più 15,print(40 + 15)
40 più 15,print(40 + 15)
somma 40 e 20,print(40 + 20)
addiziona 40 e 20,print(40 + 20)
calcola 40 più 20,print(40 + 20)
40 più 20,print(40 + 20)
somma 40 e 25,print(40 + 25)
addiziona 40 e 25,print(40 + 25)
calcola 40 più 25,print(40 + 25)
40 più 25,print(40 + 25)
somma 40 e 30,print(40 + 30)
addiziona 40 e 30,print(40 + 30)
calcola 40 più 30,print(40 + 30)
40 più 30,print(40 + 30)
somma 40 e 35,print(40 + 35)
addiziona 40 e 35,print(40 + 35)
calcola 40 più 35,print(40 + 35)
40 più 35,print(40 + 35)
somma 40 e 40,print(40 + 40)
addiziona 40 e 40,print(40 + 40)
calcola 40 più 40,print(40 + 40)
40 più 40,print(40 + 40)
somma 40 e 45,print(40 + 45)
addiziona 40 e 45,print(40 + 45)
calcola 40 più 45,print(40 + 45)
40 più 45,print(40 + 45)
somma 40 e 50,print(40 + 50)
addiziona 40 e 50,print(40 + 50)
calcola 40 più 50,print(40 + 50)
40 più 50,print(40 + 50)
somma 45 e 0,print(45 + 0)
addiziona 45 e 0,print(45 + 0)
calcola 45 più 0,print(45 + 0)
45 più 0,print(45 + 0)
somma 45 e 5,print(45 + 5)
addiziona 45 e 5,print(45 + 5)
calcola 45 più 5,print(45 + 5)
45 più 5,print(45 + 5)
somma 45 e 10,print(45 + 10)
addiziona 45 e 10,print(45 + 10)
calcola 45 più 10,print(45 + 10)
45 più 10,print(45 + 10)
somma 45 e 15,print(45 + 15)
addiziona 45 e 15,print(45 + 15)
calcola 45 più 15,print(45 + 15)
45 più 15,print(45 + 15)
somma 45 e 20,print(45 + 20)
addiziona 45 e 20,print(45 + 20)
calcola 45 più 20,print(45 + 20)
45 più 20,print(45 + 20)
somma 45 e 25,print(45 + 25)
addiziona 45 e 25,print(45 + 25)
calcola 45 più 25,print(45 + 25)
45 più 25,print(45 + 25)
somma 45 e 30,print(45 + 30)
addiziona 45 e 30,print(45 + 30)
calcola 45 più 30,print(45 + 30)
45 più 30,print(45 + 30)
somma 45 e 35,print(45 + 35)
addiziona 45 e 35,print(45 + 35)
calcola 45 più 35,print(45 + 35)
45 più 35,print(45 + 35)
somma 45 e 40,print(45 + 40)
addiziona 45 e 40,print(45 + 40)
calcola 45 più 40,print(45 + 40)
45 più 40,print(45 + 40)
somma 45 e 45,print(45 + 45)
addiziona 45 e 45,print(45 + 45)
calcola 45 più 45,print(45 + 45)
45 più 45,print(45 + 45)
somma 45 e 50,print(45 + 50)
addiziona 45 e 50,print(45 + 50)
calcola 45 più 50,print(45 + 50)
45 più 50,print(45 + 50)
somma 50 e 0,print(50 + 0)
addiziona 50 e 0,print(50 + 0)
calcola 50 più 0,print(50 + 0)
50 più 0,print(50 + 0)
somma 50 e 5,print(50 + 5)
addiziona 50 e 5,print(50 + 5)
calcola 50 più 5,print(50 + 5)
50 più 5,print(50 + 5)
somma 50 e 10,print(50 + 10)
addiziona 50 e 10,print(50 + 10)
calcola 50 più 10,print(50 + 10)
50 più 10,print(50 + 10)
somma 50 e 15,print(50 + 15)
addiziona 50 e 15,print(50 + 15)
calcola 50 più 15,print(50 + 15)
50 più 15,print(50 + 15)
somma 50 e 20,print(50 + 20)
addiziona 50 e 20,print(50 + 20)
calcola 50 più 20,print(50 + 20)
50 più 20,print(50 + 20)
somma 50 e 25,print(50 + 25)
addiziona 50 e 25,print(50 + 25)
calcola 50 più 25,print(50 + 25)
50 più 25,print(50 + 25)
somma 50 e 30,print(50 + 30)
addiziona 50 e 30,print(50 + 30)
calcola 50 più 30,print(50 + 30)
50 più 30,print(50 + 30)
somma 50 e 35,print(50 + 35)
addiziona 50 e 35,print(50 + 35)
calcola 50 più 35,print(50 + 35)
50 più 35,print(50 + 35)
somma 50 e 40,print(50 + 40)
addiziona 50 e 40,print(50 + 40)
calcola 50 più 40,print(50 + 40)
50 più 40,print(50 + 40)
somma 50 e 45,print(50 + 45)
addiziona 50 e 45,print(50 + 45)
calcola 50 più 45,print(50 + 45)
50 più 45,print(50 + 45)
somma 50 e 50,print(50 + 50)
addiziona 50 e 50,print(50 + 50)
calcola 50 più 50,print(50 + 50)
50 più 50,print(50 + 50)
somma 55 e 0,print(55 + 0)
addiziona 55 e 0,print(55 + 0)
calcola 55 più 0,print(55 + 0)
55 più 0,print(55 + 0)
somma 55 e 5,print(55 + 5)
addiziona 55 e 5,print(55 + 5)
calcola 55 più 5,print(55 + 5)
55 più 5,print(55 + 5)
somma 55 e 10,print(55 + 10)
addiziona 55 e 10,print(55 + 10)
calcola 55 più 10,print(55 + 10)
55 più 10,print(55 + 10)
somma 55 e 15,print(55 + 15)
addiziona 55 e 15,print(55 + 15)
calcola 55 più 15,print(55 + 15)
55 più 15,print(55 + 15)
somma 55 e 20,print(55 + 20)
addiziona 55 e 20,print(55 + 20)
calcola 55 più 20,print(55 + 20)
55 più 20,print(55 + 20)
somma 55 e 25,print(55 + 25)
addiziona 55 e 25,print(55 + 25)
calcola 55 più 25,print(55 + 25)
55 più 25,print(55 + 25)
somma 55 e 30,print(55 + 30)
addiziona 55 e 30,print(55 + 30)
calcola 55 più 30,print(55 + 30)
55 più 30,print(55 + 30)
somma 55 e 35,print(55 + 35)
addiziona 55 e 35,print(55 + 35)
calcola 55 più 35,print(55 + 35)
55 più 35,print(55 + 35)
somma 55 e 40,print(55 + 40)
addiziona 55 e 40,print(55 + 40)
calcola 55 più 40,print(55 + 40)
55 più 40,print(55 + 40)
somma 55 e 45,print(55 + 45)
addiziona 55 e 45,print(55 + 45)
calcola 55 più 45,print(55 + 45)
55 più 45,print(55 + 45)
somma 55 e 50,print(55 + 50)
addiziona 55 e 50,print(55 + 50)
calcola 55 più 50,print(55 + 50)
55 più 50,print(55 + 50)
somma 60 e 0,print(60 + 0)
addiziona 60 e 0,print(60 + 0)
calcola 60 più 0,print(60 + 0)
60 più 0,print(60 + 0)
somma 60 e 5,print(60 + 5)
addiziona 60 e 5,print(60 + 5)
calcola 60 più 5,print(60 + 5)
60 più 5,print(60 + 5)
somma 60 e 10,print(60 + 10)
addiziona 60 e 10,print(60 + 10)
calcola 60 più 10,print(60 + 10)
60 più 10,print(60 + 10)
somma 60 e 15,print(60 + 15)
addiziona 60 e 15,print(60 + 15)
calcola 60 più 15,print(60 + 15)
60 più 15,print(60 + 15)
somma 60 e 20,print(60 + 20)
addiziona 60 e 20,print(60 + 20)
calcola 60 più 20,print(60 + 20)
60 più 20,print(60 + 20)
somma 60 e 25,print(60 + 25)
addiziona 60 e 25,print(60 + 25)
calcola 60 più 25,print(60 + 25)
60 più 25,print(60 + 25)
somma 60 e 30,print(60 + 30)
addiziona 60 e 30,print(60 + 30)
calcola 60 più 30,print(60 + 30)
60 più 30,print(60 + 30)
somma 60 e 35,print(60 + 35)
addiziona 60 e 35,print(60 + 35)
calcola 60 più 35,print(60 + 35)
60 più 35,print(60 + 35)
somma 60 e 40,print(60 + 40)
addiziona 60 e 40,print(60 + 40)
calcola 60 più 40,print(60 + 40)
60 più 40,print(60 + 40)
somma 60 e 45,print(60 + 45)
addiziona 60 e 45,print(60 + 45)
calcola 60 più 45,print(60 + 45)
60 più 45,print(60 + 45)
somma 60 e 50,print(60 + 50)
addiziona 60 e 50,print(60 + 50)
calcola 60 più 50,print(60 + 50)
60 più 50,print(60 + 50)
somma 65 e 0,print(65 + 0)
addiziona 65 e 0,print(65 + 0)
calcola 65 più 0,print(65 + 0)
65 più 0,print(65 + 0)
somma 65 e 5,print(65 + 5)
addiziona 65 e 5,print(65 + 5)
calcola 65 più 5,print(65 + 5)
65 più 5,print(65 + 5)
somma 65 e 10,print(65 + 10)
addiziona 65 e 10,print(65 + 10)
calcola 65 più 10,print(65 + 10)
65 più 10,print(65 + 10)
somma 65 e 15,print(65 + 15)
addiziona 65 e 15,print(65 + 15)
calcola 65 più 15,print(65 + 15)
65 più 15,print(65 + 15)
somma 65 e 20,print(65 + 20)
addiziona 65 e 20,print(65 + 20)
calcola 65 più 20,print(65 + 20)
65 più 20,print(65 + 20)
somma 65 e 25,print(65 + 25)
addiziona 65 e 25,print(65 + 25)
calcola 65 più 25,print(65 + 25)
65 più 25,print(65 + 25)
somma 65 e 30,print(65 + 30)
addiziona 65 e 30,print(65 + 30)
calcola 65 più 30,print(65 + 30)
65 più 30,print(65 + 30)
somma 65 e 35,print(65 + 35)
addiziona 65 e 35,print(65 + 35)
calcola 65 più 35,print(65 + 35)
65 più 35,print(65 + 35)
somma 65 e 40,print(65 + 40)
addiziona 65 e 40,print(65 + 40)
calcola 65 più 40,print(65 + 40)
65 più 40,print(65 + 40)
somma 65 e 45,print(65 + 45)
addiziona 65 e 45,print(65 + 45)
calcola 65 più 45,print(65 + 45)
65 più 45,print(65 + 45)
somma 65 e 50,print(65 + 50)
addiziona 65 e 50,print(65 + 50)
calcola 65 più 50,print(65 + 50)
65 più 50,print(65 + 50)
somma 70 e 0,print(70 + 0)
addiziona 70 e 0,print(70 + 0)
calcola 70 più 0,print(70 + 0)
70 più 0,print(70 + 0)
somma 70 e 5,print(70 + 5)
addiziona 70 e 5,print(70 + 5)
calcola 70 più 5,print(70 + 5)
70 più 5,print(70 + 5)
somma 70 e 10,print(70 + 10)
addiziona 70 e 10,print(70 + 10)
calcola 70 più 10,print(70 + 10)
70 più 10,print(70 + 10)
somma 70 e 15,print(70 + 15)
addiziona 70 e 15,print(70 + 15)
calcola 70 più 15,print(70 + 15)
70 più 15,print(70 + 15)
somma 70 e 20,print(70 + 20)
addiziona 70 e 20,print(70 + 20)
calcola 70 più 20,print(70 + 20)
70 più 20,print(70 + 20)
somma 70 e 25,print(70 + 25)
addiziona 70 e 25,print(70 + 25)
calcola 70 più 25,print(70 + 25)
70 più 25,print(70 + 25)
somma 70 e 30,print(70 + 30)
addiziona 70 e 30,print(70 + 30)
calcola 70 più 30,print(70 + 30)
70 più 30,print(70 + 30)
somma 70 e 35,print(70 + 35)
addiziona 70 e 35,print(70 + 35)
calcola 70 più 35,print(70 + 35)
70 più 35,print(70 + 35)
somma 70 e 40,print(70 + 40)
addiziona 70 e 40,print(70 + 40)
calcola 70 più 40,print(70 + 40)
70 più 40,print(70 + 40)
somma 70 e 45,print(70 + 45)
addiziona 70 e 45,print(70 + 45)
calcola 70 più 45,print(70 + 45)
70 più 45,print(70 + 45)
somma 70 e 50,print(70 + 50)
addiziona 70 e 50,print(70 + 50)
calcola 70 più 50,print(70 + 50)
70 più 50,print(70 + 50)
somma 75 e 0,print(75 + 0)
addiziona 75 e 0,print(75 + 0)
calcola 75 più 0,print(75 + 0)
75 più 0,print(75 + 0)
somma 75 e 5,print(75 + 5)
addiziona 75 e 5,print(75 + 5)
calcola 75 più 5,print(75 + 5)
75 più 5,print(75 + 5)
somma 75 e 10,print(75 + 10)
addiziona 75 e 10,print(75 + 10)
calcola 75 più 10,print(75 + 10)
75 più 10,print(75 + 10)
somma 75 e 15,print(75 + 15)
addiziona 75 e 15,print(75 + 15)
calcola 75 più 15,print(75 + 15)
75 più 15,print(75 + 15)
somma 75 e 20,print(75 + 20)
addiziona 75 e 20,print(75 + 20)
calcola 75 più 20,print(75 + 20)
75 più 20,print(75 + 20)
somma 75 e 25,print(75 + 25)
addiziona 75 e 25,print(75 + 25)
calcola 75 più 25,print(75 + 25)
75 più 25,print(75 + 25)
somma 75 e 30,print(75 + 30)
addiziona 75 e 30,print(75 + 30)
calcola 75 più 30,print(75 + 30)
75 più 30,print(75 + 30)
somma 75 e 35,print(75 + 35)
addiziona 75 e 35,print(75 + 35)
calcola 75 più 35,print(75 + 35)
75 più 35,print(75 + 35)
somma 75 e 40,print(75 + 40)
addiziona 75 e 40,print(75 + 40)
calcola 75 più 40,print(75 + 40)
75 più 40,print(75 + 40)
somma 75 e 45,print(75 + 45)
addiziona 75 e 45,print(75 + 45)
calcola 75 più 45,print(75 + 45)
75 più 45,print(75 + 45)
somma 75 e 50,print(75 + 50)
addiziona 75 e 50,print(75 + 50)
calcola 75 più 50,print(75 + 50)
75 più 50,print(75 + 50)
somma 80 e 0,print(80 + 0)
addiziona 80 e 0,print(80 + 0)
calcola 80 più 0,print(80 + 0)
80 più 0,print(80 + 0)
somma 80 e 5,print(80 + 5)
addiziona 80 e 5,print(80 + 5)
calcola 80 più 5,print(80 + 5)
80 più 5,print(80 + 5)
somma 80 e 10,print(80 + 10)
addiziona 80 e 10,print(80 + 10)
calcola 80 più 10,print(80 + 10)
80 più 10,print(80 + 10)
somma 80 e 15,print(80 + 15)
addiziona 80 e 15,print(80 + 15)
calcola 80 più 15,print(80 + 15)
80 più 15,print(80 + 15)
somma 80 e 20,print(80 + 20)
addiziona 80 e 20,print(80 + 20)
calcola 80 più 20,print(80 + 20)
80 più 20,print(80 + 20)
somma 80 e 25,print(80 + 25)
addiziona 80 e 25,print(80 + 25)
calcola 80 più 25,print(80 + 25)
