frase_italiana,codice_python
scrivi 759,print(759)
scrivi 760,print(760)
scrivi numero 760,print(760)
scrivi il valore 760,print(760)
scrivi 761,print(761)
scrivi 762,print(762)
scrivi 763,print(763)
scrivi 764,print(764)
scrivi 765,print(765)
scrivi 766,print(766)
scrivi 767,print(767)
scrivi 768,print(768)
scrivi 769,print(769)
scrivi 770,print(770)
scrivi numero 770,print(770)
scrivi il valore 770,print(770)
scrivi 771,print(771)
scrivi 772,print(772)
scrivi 773,print(773)
scrivi 774,print(774)
scrivi 775,print(775)
scrivi 776,print(776)
scrivi 777,print(777)
scrivi 778,print(778)
scrivi 779,print(779)
scrivi 780,print(780)
scrivi numero 780,print(780)
scrivi il valore 780,print(780)
scrivi 781,print(781)
scrivi 782,print(782)
scrivi 783,print(783)
scrivi 784,print(784)
scrivi 785,print(785)
scrivi 786,print(786)
scrivi 787,print(787)
scrivi 788,print(788)
scrivi 789,print(789)
scrivi 790,print(790)
scrivi numero 790,print(790)
scrivi il valore 790,print(790)
scrivi 791,print(791)
scrivi 792,print(792)
scrivi 793,print(793)
scrivi 794,print(794)
scrivi 795,print(795)
scrivi 796,print(796)
scrivi 797,print(797)
scrivi 798,print(798)
scrivi 799,print(799)
scrivi 800,print(800)
scrivi numero 800,print(800)
scrivi il valore 800,print(800)
scrivi 801,print(801)
scrivi 802,print(802)
scrivi 803,print(803)
scrivi 804,print(804)
scrivi 805,print(805)
scrivi 806,print(806)
scrivi 807,print(807)
scrivi 808,print(808)
scrivi 809,print(809)
scrivi 810,print(810)
scrivi numero 810,print(810)
scrivi il valore 810,print(810)
scrivi 811,print(811)
scrivi 812,print(812)
scrivi 813,print(813)
scrivi 814,print(814)
scrivi 815,print(815)
scrivi 816,print(816)
scrivi 817,print(817)
scrivi 818,print(818)
scrivi 819,print(819)
scrivi 820,print(820)
scrivi numero 820,print(820)
scrivi il valore 820,print(820)
scrivi 821,print(821)
scrivi 822,print(822)
scrivi 823,print(823)
scrivi 824,print(824)
scrivi 825,print(825)
scrivi 826,print(826)
scrivi 827,print(827)
scrivi 828,print(828)
scrivi 829,print(829)
scrivi 830,print(830)
scrivi numero 830,print(830)
scrivi il valore 830,print(830)
scrivi 831,print(831)
scrivi 832,print(832)
scrivi 833,print(833)
scrivi 834,print(834)
scrivi 835,print(835)
scrivi 836,print(836)
scrivi 837,print(837)
scrivi 838,print(838)
scrivi 839,print(839)
scrivi 840,print(840)
scrivi numero 840,print(840)
scrivi il valore 840,print(840)
scrivi 841,print(841)
scrivi 842,print(842)
scrivi 843,print(843)
scrivi 844,print(844)
scrivi 845,print(845)
scrivi 846,print(846)
scrivi 847,print(847)
scrivi 848,print(848)
scrivi 849,print(849)
scrivi 850,print(850)
scrivi numero 850,print(850)
scrivi il valore 850,print(850)
scrivi 851,print(851)
scrivi 852,print(852)
scrivi 853,print(853)
scrivi 854,print(854)
scrivi 855,print(855)
scrivi 856,print(856)
scrivi 857,print(857)
scrivi 858,print(858)
scrivi 859,print(859)
scrivi 860,print(860)
scrivi numero 860,print(860)
scrivi il valore 860,print(860)
scrivi 861,print(861)
scrivi 862,print(862)
scrivi 863,print(863)
scrivi 864,print(864)
scrivi 865,print(865)
scrivi 866,print(866)
scrivi 867,print(867)
scrivi 868,print(868)
scrivi 869,print(869)
scrivi 870,print(870)
scrivi numero 870,print(870)
scrivi il valore 870,print(870)
scrivi 871,print(871)
scrivi 872,print(872)
scrivi 873,print(873)
scrivi 874,print(874)
scrivi 875,print(875)
scrivi 876,print(876)
scrivi 877,print(877)
scrivi 878,print(878)
scrivi 879,print(879)
scrivi 880,print(880)
scrivi numero 880,print(880)
scrivi il valore 880,print(880)
scrivi 881,print(881)
scrivi 882,print(882)
scrivi 883,print(883)
scrivi 884,print(884)
scrivi 885,print(885)
scrivi 886,print(886)
scrivi 887,print(887)
scrivi 888,print(888)
scrivi 889,print(889)
scrivi 890,print(890)
scrivi numero 890,print(890)
scrivi il valore 890,print(890)
scrivi 891,print(891)
scrivi 892,print(892)
scrivi 893,print(893)
scrivi 894,print(894)
scrivi 895,print(895)
scrivi 896,print(896)
scrivi 897,print(897)
scrivi 898,print(898)
scrivi 899,print(899)
scrivi 900,print(900)
scrivi numero 900,print(900)
scrivi il valore 900,print(900)
scrivi 901,print(901)
scrivi 902,print(902)
scrivi 903,print(903)
scrivi 904,print(904)
scrivi 905,print(905)
scrivi 906,print(906)
scrivi 907,print(907)
scrivi 908,print(908)
scrivi 909,print(909)
scrivi 910,print(910)
scrivi numero 910,print(910)
scrivi il valore 910,print(910)
scrivi 911,print(911)
scrivi 912,print(912)
scrivi 913,print(913)
scrivi 914,print(914)
scrivi 915,print(915)
scrivi 916,print(916)
scrivi 917,print(917)
scrivi 918,print(918)
scrivi 919,print(919)
scrivi 920,print(920)
scrivi numero 920,print(920)
scrivi il valore 920,print(920)
scrivi 921,print(921)
scrivi 922,print(922)
scrivi 923,print(923)
scrivi 924,print(924)
scrivi 925,print(925)
scrivi 926,print(926)
scrivi 927,print(927)
scrivi 928,print(928)
scrivi 929,print(929)
scrivi 930,print(930)
scrivi numero 930,print(930)
scrivi il valore 930,print(930)
scrivi 931,print(931)
scrivi 932,print(932)
scrivi 933,print(933)
scrivi 934,print(934)
scrivi 935,print(935)
scrivi 936,print(936)
scrivi 937,print(937)
scrivi 938,print(938)
scrivi 939,print(939)
scrivi 940,print(940)
scrivi numero 940,print(940)
scrivi il valore 940,print(940)
scrivi 941,print(941)
scrivi 942,print(942)
scrivi 943,print(943)
scrivi 944,print(944)
scrivi 945,print(945)
scrivi 946,print(946)
scrivi 947,print(947)
scrivi 948,print(948)
scrivi 949,print(949)
scrivi 950,print(950)
scrivi numero 950,print(950)
scrivi il valore 950,print(950)
scrivi 951,print(951)
scrivi 952,print(952)
scrivi 953,print(953)
scrivi 954,print(954)
scrivi 955,print(955)
scrivi 956,print(956)
scrivi 957,print(957)
scrivi 958,print(958)
scrivi 959,print(959)
scrivi 960,print(960)
scrivi numero 960,print(960)
scrivi il valore 960,print(960)
scrivi 961,print(961)
scrivi 962,print(962)
scrivi 963,print(963)
scrivi 964,print(964)
scrivi 965,print(965)
scrivi 966,print(966)
scrivi 967,print(967)
scrivi 968,print(968)
scrivi 969,print(969)
scrivi 970,print(970)
scrivi numero 970,print(970)
scrivi il valore 970,print(970)
scrivi 971,print(971)
scrivi 972,print(972)
scrivi 973,print(973)
scrivi 974,print(974)
scrivi 975,print(975)
scrivi 976,print(976)
scrivi 977,print(977)
scrivi 978,print(978)
scrivi 979,print(979)
scrivi 980,print(980)
scrivi numero 980,print(980)
scrivi il valore 980,print(980)
scrivi 981,print(981)
scrivi 982,print(982)
scrivi 983,print(983)
scrivi 984,print(984)
scrivi 985,print(985)
scrivi 986,print(986)
scrivi 987,print(987)
scrivi 988,print(988)
scrivi 989,print(989)
scrivi 990,print(990)
scrivi numero 990,print(990)
scrivi il valore 990,print(990)
scrivi 991,print(991)
scrivi 992,print(992)
scrivi 993,print(993)
scrivi 994,print(994)
scrivi 995,print(995)
scrivi 996,print(996)
scrivi 997,print(997)
scrivi 998,print(998)
scrivi 999,print(999)
scrivi 1000,print(1000)
scrivi numero 1000,print(1000)
scrivi il valore 1000,print(1000)
esponi 0,print(0)
esponi numero 0,print(0)
esponi il valore 0,print(0)
esponi 1,print(1)
esponi 2,print(2)
esponi 3,print(3)
esponi 4,print(4)
esponi 5,print(5)
esponi 6,print(6)
esponi 7,print(7)
esponi 8,print(8)
esponi 9,print(9)
esponi 10,print(10)
esponi numero 10,print(10)
esponi il valore 10,print(10)
esponi 11,print(11)
esponi 12,print(12)
esponi 13,print(13)
esponi 14,print(14)
esponi 15,print(15)
esponi 16,print(16)
esponi 17,print(17)
esponi 18,print(18)
esponi 19,print(19)
esponi 20,print(20)
esponi numero 20,print(20)
esponi il valore 20,print(20)
esponi 21,print(21)
esponi 22,print(22)
esponi 23,print(23)
esponi 24,print(24)
esponi 25,print(25)
esponi 26,print(26)
esponi 27,print(27)
esponi 28,print(28)
esponi 29,print(29)
esponi 30,print(30)
esponi numero 30,print(30)
esponi il valore 30,print(30)
esponi 31,print(31)
esponi 32,print(32)
esponi 33,print(33)
esponi 34,print(34)
esponi 35,print(35)
esponi 36,print(36)
esponi 37,print(37)
esponi 38,print(38)
esponi 39,print(39)
esponi 40,print(40)
esponi numero 40,print(40)
esponi il valore 40,print(40)
esponi 41,print(41)
esponi 42,print(42)
esponi 43,print(43)
esponi 44,print(44)
esponi 45,print(45)
esponi 46,print(46)
esponi 47,print(47)
esponi 48,print(48)
esponi 49,print(49)
esponi 50,print(50)
esponi numero 50,print(50)
esponi il valore 50,print(50)
esponi 51,print(51)
esponi 52,print(52)
esponi 53,print(53)
esponi 54,print(54)
esponi 55,print(55)
esponi 56,print(56)
esponi 57,print(57)
esponi 58,print(58)
esponi 59,print(59)
esponi 60,print(60)
esponi numero 60,print(60)
esponi il valore 60,print(60)
esponi 61,print(61)
esponi 62,print(62)
esponi 63,print(63)
esponi 64,print(64)
esponi 65,print(65)
esponi 66,print(66)
esponi 67,print(67)
esponi 68,print(68)
esponi 69,print(69)
esponi 70,print(70)
esponi numero 70,print(70)
esponi il valore 70,print(70)
esponi 71,print(71)
esponi 72,print(72)
esponi 73,print(73)
esponi 74,print(74)
esponi 75,print(75)
esponi 76,print(76)
esponi 77,print(77)
esponi 78,print(78)
esponi 79,print(79)
esponi 80,print(80)
esponi numero 80,print(80)
esponi il valore 80,print(80)
esponi 81,print(81)
esponi 82,print(82)
esponi 83,print(83)
esponi 84,print(84)
esponi 85,print(85)
esponi 86,print(86)
esponi 87,print(87)
esponi 88,print(88)
esponi 89,print(89)
esponi 90,print(90)
esponi numero 90,print(90)
esponi il valore 90,print(90)
esponi 91,print(91)
esponi 92,print(92)
esponi 93,print(93)
esponi 94,print(94)
esponi 95,print(95)
esponi 96,print(96)
esponi 97,print(97)
esponi 98,print(98)
esponi 99,print(99)
esponi 100,print(100)
esponi numero 100,print(100)
esponi il valore 100,print(100)
esponi 101,print(101)
esponi 102,print(102)
esponi 103,print(103)
esponi 104,print(104)
esponi 105,print(105)
esponi 106,print(106)
esponi 107,print(107)
esponi 108,print(108)
esponi 109,print(109)
esponi 110,print(110)
esponi numero 110,print(110)
esponi il valore 110,print(110)
esponi 111,print(111)
esponi 112,print(112)
esponi 113,print(113)
esponi 114,print(114)
esponi 115,print(115)
esponi 116,print(116)
esponi 117,print(117)
esponi 118,print(118)
esponi 119,print(119)
esponi 120,print(120)
esponi numero 120,print(120)
esponi il valore 120,print(120)
esponi 121,print(121)
esponi 122,print(122)
esponi 123,print(123)
esponi 124,print(124)
esponi 125,print(125)
esponi 126,print(126)
esponi 127,print(127)
esponi 128,print(128)
esponi 129,print(129)
esponi 130,print(130)
esponi numero 130,print(130)
esponi il valore 130,print(130)
esponi 131,print(131)
esponi 132,print(132)
esponi 133,print(133)
esponi 134,print(134)
esponi 135,print(135)
esponi 136,print(136)
esponi 137,print(137)
esponi 138,print(138)
esponi 139,print(139)
esponi 140,print(140)
esponi numero 140,print(140)
esponi il valore 140,print(140)
esponi 141,print(141)
esponi 142,print(142)
esponi 143,print(143)
esponi 144,print(144)
esponi 145,print(145)
esponi 146,print(146)
esponi 147,print(147)
esponi 148,print(148)
esponi 149,print(149)
esponi 150,print(150)
esponi numero 150,print(150)
esponi il valore 150,print(150)
esponi 151,print(151)
esponi 152,print(152)
esponi 153,print(153)
esponi 154,print(154)
esponi 155,print(155)
esponi 156,print(156)
esponi 157,print(157)
esponi 158,print(158)
esponi 159,print(159)
esponi 160,print(160)
esponi numero 160,print(160)
esponi il valore 160,print(160)
esponi 161,print(161)
esponi 162,print(162)
esponi 163,print(163)
esponi 164,print(164)
esponi 165,print(165)
esponi 166,print(166)
esponi 167,print(167)
esponi 168,print(168)
esponi 169,print(169)
esponi 170,print(170)
esponi numero 170,print(170)
esponi il valore 170,print(170)
esponi 171,print(171)
esponi 172,print(172)
esponi 173,print(173)
esponi 174,print(174)
esponi 175,print(175)
esponi 176,print(176)
esponi 177,print(177)
esponi 178,print(178)
esponi 179,print(179)
esponi 180,print(180)
esponi numero 180,print(180)
esponi il valore 180,print(180)
esponi 181,print(181)
esponi 182,print(182)
esponi 183,print(183)
esponi 184,print(184)
esponi 185,print(185)
esponi 186,print(186)
esponi 187,print(187)
esponi 188,print(188)
esponi 189,print(189)
esponi 190,print(190)
esponi numero 190,print(190)
esponi il valore 190,print(190)
esponi 191,print(191)
esponi 192,print(192)
esponi 193,print(193)
esponi 194,print(194)
esponi 195,print(195)
esponi 196,print(196)
esponi 197,print(197)
esponi 198,print(198)
esponi 199,print(199)
esponi 200,print(200)
esponi numero 200,print(200)
esponi il valore 200,print(200)
esponi 201,print(201)
esponi 202,print(202)
esponi 203,print(203)
esponi 204,print(204)
esponi 205,print(205)
esponi 206,print(206)
esponi 207,print(207)
esponi 208,print(208)
esponi 209,print(209)
esponi 210,print(210)
esponi numero 210,print(210)
esponi il valore 210,print(210)
esponi 211,print(211)
esponi 212,print(212)
esponi 213,print(213)
esponi 214,print(214)
esponi 215,print(215)
esponi 216,print(216)
esponi 217,print(217)
esponi 218,print(218)
esponi 219,print(219)
esponi 220,print(220)
esponi numero 220,print(220)
esponi il valore 220,print(220)
esponi 221,print(221)
esponi 222,print(222)
esponi 223,print(223)
esponi 224,print(224)
esponi 225,print(225)
esponi 226,print(226)
esponi 227,print(227)
esponi 228,print(228)
esponi 229,print(229)
esponi 230,print(230)
esponi numero 230,print(230)
esponi il valore 230,print(230)
esponi 231,print(231)
esponi 232,print(232)
esponi 233,print(233)
esponi 234,print(234)
esponi 235,print(235)
esponi 236,print(236)
esponi 237,print(237)
esponi 238,print(238)
esponi 239,print(239)
esponi 240,print(240)
esponi numero 240,print(240)
esponi il valore 240,print(240)
esponi 241,print(241)
esponi 242,print(242)
esponi 243,print(243)
esponi 244,print(244)
esponi 245,print(245)
esponi 246,print(246)
esponi 247,print(247)
esponi 248,print(248)
esponi 249,print(249)
esponi 250,print(250)
esponi numero 250,print(250)
esponi il valore 250,print(250)
esponi 251,print(251)
esponi 252,print(252)
esponi 253,print(253)
esponi 254,print(254)
esponi 255,print(255)
esponi 256,print(256)
esponi 257,print(257)
esponi 258,print(258)
esponi 259,print(259)
esponi 260,print(260)
esponi numero 260,print(260)
esponi il valore 260,print(260)
esponi 261,print(261)
esponi 262,print(262)
esponi 263,print(263)
esponi 264,print(264)
esponi 265,print(265)
esponi 266,print(266)
esponi 267,print(267)
esponi 268,print(268)
esponi 269,print(269)
esponi 270,print(270)
esponi numero 270,print(270)
esponi il valore 270,print(270)
esponi 271,print(271)
esponi 272,print(272)
esponi 273,print(273)
esponi 274,print(274)
esponi 275,print(275)
esponi 276,print(276)
esponi 277,print(277)
esponi 278,print(278)
esponi 279,print(279)
esponi 280,print(280)
esponi numero 280,print(280)
esponi il valore 280,print(280)
esponi 281,print(281)
esponi 282,print(282)
esponi 283,print(283)
esponi 284,print(284)
esponi 285,print(285)
esponi 286,print(286)
esponi 287,print(287)
esponi 288,print(288)
esponi 289,print(289)
esponi 290,print(290)
esponi numero 290,print(290)
esponi il valore 290,print(290)
esponi 291,print(291)
esponi 292,print(292)
esponi 293,print(293)
esponi 294,print(294)
esponi 295,print(295)
esponi 296,print(296)
esponi 297,print(297)
esponi 298,print(298)
esponi 299,print(299)
esponi 300,print(300)
esponi numero 300,print(300)
esponi il valore 300,print(300)
esponi 301,print(301)
esponi 302,print(302)
esponi 303,print(303)
esponi 304,print(304)
esponi 305,print(305)
esponi 306,print(306)
esponi 307,print(307)
esponi 308,print(308)
esponi 309,print(309)
esponi 310,print(310)
esponi numero 310,print(310)
esponi il valore 310,print(310)
esponi 311,print(311)
esponi 312,print(312)
esponi 313,print(313)
esponi 314,print(314)
esponi 315,print(315)
esponi 316,print(316)
esponi 317,print(317)
esponi 318,print(318)
esponi 319,print(319)
esponi 320,print(320)
esponi numero 320,print(320)
esponi il valore 320,print(320)
esponi 321,print(321)
esponi 322,print(322)
esponi 323,print(323)
esponi 324,print(324)
esponi 325,print(325)
esponi 326,print(326)
esponi 327,print(327)
esponi 328,print(328)
esponi 329,print(329)
esponi 330,print(330)
esponi numero 330,print(330)
esponi il valore 330,print(330)
esponi 331,print(331)
esponi 332,print(332)
esponi 333,print(333)
esponi 334,print(334)
esponi 335,print(335)
esponi 336,print(336)
esponi 337,print(337)
esponi 338,print(338)
esponi 339,print(339)
esponi 340,print(340)
esponi numero 340,print(340)
esponi il valore 340,print(340)
esponi 341,print(341)
esponi 342,print(342)
esponi 343,print(343)
esponi 344,print(344)
esponi 345,print(345)
esponi 346,print(346)
esponi 347,print(347)
esponi 348,print(348)
esponi 349,print(349)
esponi 350,print(350)
esponi numero 350,print(350)
esponi il valore 350,print(350)
esponi 351,print(351)
esponi 352,print(352)
esponi 353,print(353)
esponi 354,print(354)
esponi 355,print(355)
esponi 356,print(356)
esponi 357,print(357)
esponi 358,print(358)
esponi 359,print(359)
esponi 360,print(360)
esponi numero 360,print(360)
esponi il valore 360,print(360)
esponi 361,print(361)
esponi 362,print(362)
esponi 363,print(363)
esponi 364,print(364)
esponi 365,print(365)
esponi 366,print(366)
esponi 367,print(367)
esponi 368,print(368)
esponi 369,print(369)
esponi 370,print(370)
esponi numero 370,print(370)
esponi il valore 370,print(370)
esponi 371,print(371)
esponi 372,print(372)
esponi 373,print(373)
esponi 374,print(374)
esponi 375,print(375)
esponi 376,print(376)
esponi 377,print(377)
esponi 378,print(378)
esponi 379,print(379)
esponi 380,print(380)
esponi numero 380,print(380)
esponi il valore 380,print(380)
esponi 381,print(381)
esponi 382,print(382)
esponi 383,print(383)
esponi 384,print(384)
esponi 385,print(385)
esponi 386,print(386)
esponi 387,print(387)
esponi 388,print(388)
esponi 389,print(389)
esponi 390,print(390)
esponi numero 390,print(390)
esponi il valore 390,print(390)
esponi 391,print(391)
esponi 392,print(392)
esponi 393,print(393)
esponi 394,print(394)
esponi 395,print(395)
esponi 396,print(396)
esponi 397,print(397)
esponi 398,print(398)
esponi 399,print(399)
esponi 400,print(400)
esponi numero 400,print(400)
esponi il valore 400,print(400)
esponi 401,print(401)
esponi 402,print(402)
esponi 403,print(403)
esponi 404,print(404)
esponi 405,print(405)
esponi 406,print(406)
esponi 407,print(407)
esponi 408,print(408)
esponi 409,print(409)
esponi 410,print(410)
esponi numero 410,print(410)
esponi il valore 410,print(410)
esponi 411,print(411)
esponi 412,print(412)
esponi 413,print(413)
esponi 414,print(414)
esponi 415,print(415)
esponi 416,print(416)
esponi 417,print(417)
esponi 418,print(418)
esponi 419,print(419)
esponi 420,print(420)
esponi numero 420,print(420)
esponi il valore 420,print(420)
esponi 421,print(421)
esponi 422,print(422)
esponi 423,print(423)
esponi 424,print(424)
esponi 425,print(425)
esponi 426,print(426)
esponi 427,print(427)
esponi 428,print(428)
esponi 429,print(429)
esponi 430,print(430)
esponi numero 430,print(430)
esponi il valore 430,print(430)
esponi 431,print(431)
esponi 432,print(432)
esponi 433,print(433)
esponi 434,print(434)
esponi 435,print(435)
esponi 436,print(436)
esponi 437,print(437)
esponi 438,print(438)
esponi 439,print(439)
esponi 440,print(440)
esponi numero 440,print(440)
esponi il valore 440,print(440)
esponi 441,print(441)
esponi 442,print(442)
esponi 443,print(443)
esponi 444,print(444)
esponi 445,print(445)
esponi 446,print(446)
esponi 447,print(447)
esponi 448,print(448)
esponi 449,print(449)
esponi 450,print(450)
esponi numero 450,print(450)
esponi il valore 450,print(450)
esponi 451,print(451)
esponi 452,print(452)
esponi 453,print(453)
esponi 454,print(454)
esponi 455,print(455)
esponi 456,print(456)
esponi 457,print(457)
esponi 458,print(458)
esponi 459,print(459)
esponi 460,print(460)
esponi numero 460,print(460)
esponi il valore 460,print(460)
esponi 461,print(461)
esponi 462,print(462)
esponi 463,print(463)
esponi 464,print(464)
esponi 465,print(465)
esponi 466,print(466)
esponi 467,print(467)
esponi 468,print(468)
esponi 469,print(469)
esponi 470,print(470)
esponi numero 470,print(470)
esponi il valore 470,print(470)
esponi 471,print(471)
esponi 472,print(472)
esponi 473,print(473)
esponi 474,print(474)
esponi 475,print(475)
esponi 476,print(476)
esponi 477,print(477)
esponi 478,print(478)
esponi 479,print(479)
esponi 480,print(480)
esponi numero 480,print(480)
esponi il valore 480,print(480)
esponi 481,print(481)
esponi 482,print(482)
esponi 483,print(483)
esponi 484,print(484)
esponi 485,print(485)
esponi 486,print(486)
esponi 487,print(487)
esponi 488,print(488)
esponi 489,print(489)
esponi 490,print(490)
esponi numero 490,print(490)
esponi il valore 490,print(490)
esponi 491,print(491)
esponi 492,print(492)
esponi 493,print(493)
esponi 494,print(494)
esponi 495,print(495)
esponi 496,print(496)
esponi 497,print(497)
esponi 498,print(498)
esponi 499,print(499)
esponi 500,print(500)
esponi numero 500,print(500)
esponi il valore 500,print(500)
esponi 501,print(501)
esponi 502,print(502)
esponi 503,print(503)
esponi 504,print(504)
esponi 505,print(505)
esponi 506,print(506)
esponi 507,print(507)
esponi 508,print(508)
esponi 509,print(509)
esponi 510,print(510)
esponi numero 510,print(510)
esponi il valore 510,print(510)
esponi 511,print(511)
esponi 512,print(512)
esponi 513,print(513)
esponi 514,print(514)
esponi 515,print(515)
esponi 516,print(516)
esponi 517,print(517)
esponi 518,print(518)
esponi 519,print(519)
esponi 520,print(520)
esponi numero 520,print(520)
esponi il valore 520,print(520)
esponi 521,print(521)
esponi 522,print(522)
esponi 523,print(523)
esponi 524,print(524)
esponi 525,print(525)
esponi 526,print(526)
esponi 527,print(527)
esponi 528,print(528)
esponi 529,print(529)
esponi 530,print(530)
esponi numero 530,print(530)
esponi il valore 530,print(530)
esponi 531,print(531)
esponi 532,print(532)
esponi 533,print(533)
esponi 534,print(534)
esponi 535,print(535)
esponi 536,print(536)
esponi 537,print(537)
esponi 538,print(538)
esponi 539,print(539)
esponi 540,print(540)
esponi numero 540,print(540)
esponi il valore 540,print(540)
esponi 541,print(541)
esponi 542,print(542)
esponi 543,print(543)
esponi 544,print(544)
esponi 545,print(545)
esponi 546,print(546)
esponi 547,print(547)
esponi 548,print(548)
esponi 549,print(549)
esponi 550,print(550)
esponi numero 550,print(550)
esponi il valore 550,print(550)
esponi 551,print(551)
esponi 552,print(552)
esponi 553,print(553)
esponi 554,print(554)
esponi 555,print(555)
esponi 556,print(556)
esponi 557,print(557)
esponi 558,print(558)
esponi 559,print(559)
esponi 560,print(560)
esponi numero 560,print(560)
esponi il valore 560,print(560)
esponi 561,print(561)
esponi 562,print(562)
esponi 563,print(563)
esponi 564,print(564)
esponi 565,print(565)
esponi 566,print(566)
esponi 567,print(567)
esponi 568,print(568)
esponi 569,print(569)
esponi 570,print(570)
esponi numero 570,print(570)
esponi il valore 570,print(570)
esponi 571,print(571)
esponi 572,print(572)
esponi 573,print(573)
esponi 574,print(574)
esponi 575,print(575)
esponi 576,print(576)
esponi 577,print(577)
esponi 578,print(578)
esponi 579,print(579)
esponi 580,print(580)
esponi numero 580,print(580)
esponi il valore 580,print(580)
esponi 581,print(581)
esponi 582,print(582)
esponi 583,print(583)
esponi 584,print(584)
esponi 585,print(585)
esponi 586,print(586)
esponi 587,print(587)
esponi 588,print(588)
esponi 589,print(589)
esponi 590,print(590)
esponi numero 590,print(590)
esponi il valore 590,print(590)
esponi 591,print(591)
esponi 592,print(592)
esponi 593,print(593)
esponi 594,print(594)
esponi 595,print(595)
esponi 596,print(596)
esponi 597,print(597)
esponi 598,print(598)
esponi 599,print(599)
esponi 600,print(600)
esponi numero 600,print(600)
esponi il valore 600,print(600)
esponi 601,print(601)
esponi 602,print(602)
esponi 603,print(603)
esponi 604,print(604)
esponi 605,print(605)
esponi 606,print(606)
esponi 607,print(607)
esponi 608,print(608)
esponi 609,print(609)
esponi 610,print(610)
esponi numero 610,print(610)
esponi il valore 610,print(610)
esponi 611,print(611)
esponi 612,print(612)
esponi 613,print(613)
esponi 614,print(614)
esponi 615,print(615)
esponi 616,print(616)
esponi 617,print(617)
esponi 618,print(618)
esponi 619,print(619)
esponi 620,print(620)
esponi numero 620,print(620)
esponi il valore 620,print(620)
esponi 621,print(621)
esponi 622,print(622)
esponi 623,print(623)
esponi 624,print(624)
esponi 625,print(625)
esponi 626,print(626)
esponi 627,print(627)
esponi 628,print(628)
esponi 629,print(629)
esponi 630,print(630)
esponi numero 630,print(630)
esponi il valore 630,print(630)
esponi 631,print(631)
esponi 632,print(632)
esponi 633,print(633)
esponi 634,print(634)
esponi 635,print(635)
esponi 636,print(636)
esponi 637,print(637)
esponi 638,print(638)
esponi 639,print(639)
esponi 640,print(640)
esponi numero 640,print(640)
esponi il valore 640,print(640)
esponi 641,print(641)
esponi 642,print(642)
esponi 643,print(643)
esponi 644,print(644)
esponi 645,print(645)
esponi 646,print(646)
esponi 647,print(647)
esponi 648,print(648)
esponi 649,print(649)
esponi 650,print(650)
esponi numero 650,print(650)
esponi il valore 650,print(650)
esponi 651,print(651)
esponi 652,print(652)
esponi 653,print(653)
esponi 654,print(654)
esponi 655,print(655)
esponi 656,print(656)
esponi 657,print(657)
esponi 658,print(658)
esponi 659,print(659)
esponi 660,print(660)
esponi numero 660,print(660)
esponi il valore 660,print(660)
esponi 661,print(661)
esponi 662,print(662)
esponi 663,print(663)
esponi 664,print(664)
esponi 665,print(665)
esponi 666,print(666)
esponi 667,print(667)
esponi 668,print(668)
esponi 669,print(669)
esponi 670,print(670)
esponi numero 670,print(670)
esponi il valore 670,print(670)
esponi 671,print(671)
esponi 672,print(672)
esponi 673,print(673)
esponi 674,print(674)
esponi 675,print(675)
esponi 676,print(676)
esponi 677,print(677)
esponi 678,print(678)
esponi 679,print(679)
esponi 680,print(680)
esponi numero 680,print(680)
esponi il valore 680,print(680)
esponi 681,print(681)
esponi 682,print(682)
esponi 683,print(683)
esponi 684,print(684)
esponi 685,print(685)
esponi 686,print(686)
esponi 687,print(687)
esponi 688,print(688)
esponi 689,print(689)
esponi 690,print(690)
esponi numero 690,print(690)
esponi il valore 690,print(690)
esponi 691,print(691)
esponi 692,print(692)
esponi 693,print(693)
esponi 694,print(694)
esponi 695,print(695)
esponi 696,print(696)
esponi 697,print(697)
esponi 698,print(698)
esponi 699,print(699)
esponi 700,print(700)
esponi numero 700,print(700)
esponi il valore 700,print(700)
esponi 701,print(701)
esponi 702,print(702)
esponi 703,print(703)
esponi 704,print(704)
esponi 705,print(705)
esponi 706,print(706)
esponi 707,print(707)
esponi 708,print(708)
esponi 709,print(709)
esponi 710,print(710)
esponi numero 710,print(710)
esponi il valore 710,print(710)
esponi 711,print(711)
esponi 712,print(712)
esponi 713,print(713)
esponi 714,print(714)
esponi 715,print(715)
esponi 716,print(716)
esponi 717,print(717)
esponi 718,print(718)
esponi 719,print(719)
esponi 720,print(720)
esponi numero 720,print(720)
esponi il valore 720,print(720)
esponi 721,print(721)
esponi 722,print(722)
esponi 723,print(723)
esponi 724,print(724)
esponi 725,print(725)
esponi 726,print(726)
esponi 727,print(727)
esponi 728,print(728)
esponi 729,print(729)
esponi 730,print(730)
esponi numero 730,print(730)
esponi il valore 730,print(730)
esponi 731,print(731)
esponi 732,print(732)
esponi 733,print(733)
esponi 734,print(734)
esponi 735,print(735)
esponi 736,print(736)
esponi 737,print(737)
esponi 738,print(738)
esponi 739,print(739)
esponi 740,print(740)
esponi numero 740,print(740)
esponi il valore 740,print(740)
esponi 741,print(741)
esponi 742,print(742)
esponi 743,print(743)
esponi 744,print(744)
esponi 745,print(745)
esponi 746,print(746)
esponi 747,print(747)
esponi 748,print(748)
esponi 749,print(749)
esponi 750,print(750)
esponi numero 750,print(750)
esponi il valore 750,print(750)
esponi 751,print(751)
esponi 752,print(752)
esponi 753,print(753)
